days_until_deact	count_users	deacts_actual	deacts_pred	pct_deact_actual	pct_deact_pred	accuracy	avg_prob_deact	pred_over_actual_deacts	diff_pct_deact
112.0	4463	3432	3981	0.768989468967	0.892000896258	0.768541339906	0.724583653647	1.15996503497	0.123011427291
113.0	4160	3256	3782	0.782692307692	0.909134615385	0.773076923077	0.734998526727	1.16154791155	0.126442307692
114.0	4502	3502	4046	0.777876499334	0.898711683696	0.77654375833	0.729606439023	1.15533980583	0.120835184363
115.0	4884	3755	4392	0.768837018837	0.899262899263	0.761466011466	0.725326514331	1.16964047936	0.130425880426
116.0	4642	3564	4149	0.767772511848	0.893795777682	0.761525204653	0.723613178327	1.16414141414	0.126023265834
117.0	5181	3931	4592	0.758733835167	0.886315383131	0.762015055009	0.7215092604	1.16815059781	0.127581547964
118.0	5675	4306	5064	0.758766519824	0.892334801762	0.757533039648	0.718822325886	1.17603344171	0.133568281938
119.0	5216	3987	4697	0.764378834356	0.900498466258	0.769171779141	0.725156589161	1.17807875596	0.136119631902
120.0	5035	3812	4580	0.757100297915	0.909632571996	0.756107249255	0.73322995632	1.20146904512	0.152532274081
121.0	5218	3965	4690	0.75986968187	0.898811805289	0.767152165581	0.728792416567	1.18284993695	0.138942123419
122.0	4966	3833	4515	0.771848570278	0.909182440596	0.769230769231	0.73227812325	1.17792851552	0.137333870318
123.0	4165	3097	3746	0.743577430972	0.899399759904	0.752941176471	0.726908555167	1.20955763642	0.155822328932
124.0	4524	3480	4116	0.769230769231	0.909814323607	0.765694076039	0.732016033436	1.18275862069	0.140583554377
125.0	5455	4028	4920	0.738405132906	0.901924839597	0.751054078827	0.725010821797	1.22144985104	0.163519706691
126.0	4538	3368	4038	0.74217717056	0.889819303658	0.749669457911	0.721509965848	1.19893111639	0.147642133098
127.0	6226	4498	5565	0.722454224221	0.893832316094	0.73450048185	0.717177590256	1.23721654068	0.171378091873
128.0	5985	4275	5394	0.714285714286	0.901253132832	0.722472848789	0.714539442246	1.26175438596	0.186967418546
129.0	5411	3976	4886	0.734799482536	0.90297542044	0.740158935502	0.719532367586	1.22887323944	0.168175937904
130.0	5425	4006	4921	0.738433179724	0.907096774194	0.746912442396	0.725747127637	1.22840738892	0.16866359447
131.0	6186	4547	5584	0.735046880052	0.902683478823	0.731490462334	0.721993175527	1.22806245876	0.167636598771
132.0	6313	4499	5659	0.712656423254	0.896404245208	0.72247742753	0.716915927879	1.25783507446	0.183747821955
133.0	5394	3939	4855	0.730255839822	0.90007415647	0.732295142751	0.71904746638	1.23254633156	0.169818316648
134.0	4956	3677	4507	0.74192897498	0.909402744149	0.741727199354	0.726970917959	1.22572749524	0.167473769169
135.0	5157	3737	4651	0.724646112081	0.90188093853	0.73201473725	0.720345651966	1.24458121488	0.177234826449
136.0	5077	3664	4482	0.72168603506	0.882804805988	0.735276738231	0.710938578446	1.22325327511	0.161118770928
137.0	5152	3749	4661	0.727678571429	0.904697204969	0.732919254658	0.724460841873	1.24326487063	0.17701863354
138.0	5664	4150	5080	0.732697740113	0.896892655367	0.742937853107	0.72157318748	1.22409638554	0.164194915254
139.0	5974	4339	5352	0.726314027452	0.895882156009	0.727987947774	0.72062283438	1.23346393178	0.169568128557
140.0	5454	3917	4793	0.718188485515	0.878804547121	0.718005133847	0.710700917626	1.22364054123	0.160616061606
141.0	5193	3741	4586	0.720392836511	0.883111881379	0.72751781244	0.715415377476	1.22587543438	0.162719044868
142.0	4792	3484	4311	0.727045075125	0.899624373957	0.739357262104	0.726306917818	1.23737083812	0.172579298831
143.0	5341	3840	4685	0.718966485677	0.877176558697	0.730200337016	0.706289766627	1.22005208333	0.15821007302
144.0	5492	3875	4827	0.705571740714	0.878914785142	0.721048798252	0.703860628255	1.24567741935	0.173343044428
145.0	6004	4337	5323	0.72235176549	0.886575616256	0.728514323784	0.708492299725	1.22734609177	0.164223850766
146.0	6051	4405	5423	0.727978846472	0.89621550157	0.732275656916	0.714811742527	1.23110102157	0.168236655098
147.0	6515	4720	5827	0.724481964697	0.894397544129	0.729086722947	0.71318757549	1.23453389831	0.169915579432
148.0	6368	4555	5719	0.715295226131	0.898084170854	0.727701005025	0.714468178929	1.25554335895	0.182788944724
149.0	6089	4322	5407	0.70980456561	0.887994744621	0.72228608967	0.709997837789	1.25104118464	0.178190179011
150.0	5692	4019	5052	0.706078706957	0.88756148981	0.723998594519	0.708360369906	1.25702911172	0.181482782853
